Date,Price,Open,High,Low,Vol.,Change %,ID,AVG
04/01/2010,3.92,3.874,4.386,3.81,2.50M,1.32%,186,3.998
05/01/2010,4.341,3.935,4.494,3.855,1.90M,10.74%,185,4.156
06/01/2010,4.616,4.35,5.196,4.217,2.53M,6.33%,184,4.595
07/01/2010,4.923,4.636,4.937,4.288,2.15M,6.65%,183,4.696
08/01/2010,3.816,4.988,5.007,3.62,2.25M,-22.49%,182,4.358
09/01/2010,3.872,3.79,4.144,3.697,2.33M,1.47%,181,3.876
10/01/2010,4.038,3.861,4.075,3.212,2.41M,4.29%,180,3.797
11/01/2010,4.18,4.031,4.487,3.71,2.49M,3.52%,179,4.102
12/01/2010,4.405,4.196,4.637,3.951,2.62M,5.38%,178,4.297
01/01/2011,4.42,4.492,4.879,4.252,2.51M,0.34%,177,4.511
02/01/2011,4.037,4.417,4.496,3.775,2.38M,-8.67%,176,4.181
03/01/2011,4.389,4.05,4.48,3.731,2.85M,8.72%,175,4.163
04/01/2011,4.698,4.405,4.705,3.99,2.64M,7.04%,174,4.45
05/01/2011,4.666,4.685,4.729,4.077,2.41M,-0.68%,173,4.539
06/01/2011,4.374,4.655,4.983,4.154,2.68M,-6.26%,172,4.542
07/01/2011,4.145,4.372,4.612,4.064,2.10M,-5.24%,171,4.298
08/01/2011,4.054,4.135,4.23,3.78,2.54M,-2.20%,170,4.05
09/01/2011,3.666,4.06,4.13,3.651,2.47M,-9.57%,169,3.877
10/01/2011,3.934,3.643,3.978,3.446,2.74M,7.31%,168,3.75
11/01/2011,3.55,3.932,3.955,3.285,2.41M,-9.76%,167,3.681
12/01/2011,2.989,3.575,3.689,2.957,2.30M,-15.80%,166,3.303
01/01/2012,2.503,2.969,3.123,2.231,3.12M,-16.26%,165,2.707
02/01/2012,2.616,2.465,2.733,2.34,3.23M,4.51%,164,2.539
03/01/2012,2.126,2.593,2.597,2.101,2.47M,-18.73%,163,2.354
04/01/2012,2.285,2.122,2.32,1.902,2.44M,7.48%,162,2.157
05/01/2012,2.422,2.311,2.759,2.236,3.18M,6.00%,161,2.432
06/01/2012,2.824,2.408,2.946,2.168,3.10M,16.60%,160,2.587
07/01/2012,3.209,2.804,3.277,2.718,2.72M,13.63%,159,3.002
08/01/2012,2.799,3.217,3.241,2.575,3.31M,-12.78%,158,2.958
09/01/2012,3.32,2.806,3.33,2.647,2.81M,18.61%,157,3.026
10/01/2012,3.692,3.325,3.82,3.325,3.55M,11.20%,156,3.541
11/01/2012,3.561,3.692,3.933,3.47,2.30M,-3.55%,155,3.664
12/01/2012,3.351,3.553,3.748,3.261,2.50M,-5.90%,154,3.478
