Date,Open,High,Low,Close,Avg
1/1/2019,0.73275,0.7625,0.7325,0.7619,0.74741
2/1/2019,0.7613,0.7654,0.7508,0.7613,0.7597
3/1/2019,0.75945,0.76195,0.7427,0.74915,0.75331
4/1/2019,0.7498,0.7535,0.74,0.74695,0.74756
5/1/2019,0.7437,0.74925,0.73745,0.73985,0.74256
6/1/2019,0.74,0.7655,0.7395,0.76475,0.75244
7/1/2019,0.76435,0.76815,0.75765,0.75815,0.76207
8/1/2019,0.75685,0.75855,0.74995,0.75085,0.75405
10/1/2019,0.75485,0.7666,0.7496,0.7597,0.75769
11/1/2019,0.75995,0.76235,0.75035,0.7529,0.75639
1/1/2020,0.7706,0.7716,0.75465,0.75575,0.76315
2/1/2020,0.7551,0.7575,0.7427,0.74615,0.75036
4/1/2020,0.70935,0.72085,0.70075,0.7182,0.71229
5/1/2020,0.71695,0.72915,0.7057,0.7256,0.71935
6/1/2020,0.72615,0.75105,0.7245,0.73615,0.73446
7/1/2020,0.7368,0.75,0.73345,0.74715,0.74185
8/1/2020,0.745,0.76805,0.745,0.7677,0.75644
9/1/2020,0.7667,0.7696,0.74525,0.7512,0.75819
10/1/2020,0.75255,0.764,0.7469,0.7509,0.75359
12/1/2020,0.7693,0.78795,0.76905,0.78335,0.77741
1/1/2021,0.7858,0.7943,0.77705,0.78115,0.78458
2/1/2021,0.78025,0.8021,0.7776,0.78695,0.78672
3/1/2021,0.7854,0.807,0.78485,0.7957,0.79324
4/1/2021,0.7951,0.8147,0.79155,0.81435,0.80392
5/1/2021,0.8139,0.8314,0.80965,0.8274,0.82059
6/1/2021,0.8282,0.8328,0.801,0.8062,0.81705
7/1/2021,0.80615,0.81235,0.7834,0.80135,0.80081
9/1/2021,0.7928,0.80035,0.77655,0.79,0.78993
10/1/2021,0.7867,0.81305,0.7867,0.8081,0.79864
11/1/2021,0.80785,0.80945,0.77895,0.78215,0.7946
12/1/2021,0.78245,0.7934,0.7724,0.79065,0.78473
1/1/2022,0.7865,0.8026,0.781,0.78755,0.78941
2/1/2022,0.78795,0.79005,0.77645,0.78825,0.78568
3/1/2022,0.7889,0.8044,0.77505,0.80105,0.79235
4/1/2022,0.7995,0.80435,0.7767,0.7792,0.78994
6/1/2022,0.79035,0.7988,0.76505,0.77695,0.78279
7/1/2022,0.77525,0.7806,0.7564,0.78055,0.7732
8/1/2022,0.7801,0.785,0.7608,0.7619,0.77195
9/1/2022,0.7613,0.77185,0.72365,0.72385,0.74516
10/1/2022,0.72625,0.74045,0.71675,0.7339,0.72934
11/1/2022,0.734,0.7561,0.7248,0.74425,0.73979
12/1/2022,0.745,0.74715,0.72965,0.73885,0.74016
2/1/2023,0.75085,0.7532,0.7318,0.73385,0.74243
3/1/2023,0.7332,0.7399,0.7214,0.73915,0.73341
4/1/2023,0.74055,0.74995,0.73215,0.73895,0.7404
5/1/2023,0.73755,0.7506,0.73265,0.73695,0.73944
6/1/2023,0.737,0.7625,0.7364,0.75555,0.74786
7/1/2023,0.7548,0.76305,0.7475,0.7591,0.75611
8/1/2023,0.75725,0.75725,0.73325,0.73985,0.7469
9/1/2023,0.74025,0.74645,0.73035,0.73775,0.7387
11/1/2023,0.7203,0.73865,0.7201,0.73725,0.72907
12/1/2023,0.7376,0.75885,0.7343,0.75555,0.74658
1/1/2024,0.75525,0.75525,0.73905,0.74635,0.74897
2/1/2024,0.74475,0.74825,0.73515,0.7367,0.74121
3/1/2024,0.73655,0.74525,0.73475,0.73875,0.73882
4/1/2024,0.73915,0.742,0.72315,0.72685,0.73279
5/1/2024,0.7261,0.7363,0.726,0.7339,0.73058
6/1/2024,0.73405,0.7354,0.72515,0.7309,0.73137
7/1/2024,0.7316,0.7359,0.7218,0.7253,0.72865
8/1/2024,0.72465,0.74455,0.7174,0.74185,0.73211
10/1/2024,0.7397,0.74195,0.71755,0.7194,0.72965
11/1/2024,0.7182,0.72375,0.7058,0.7147,0.71561
1/1/2025,0.69585,0.70195,0.6867,0.6896,0.69353
2/1/2025,0.68,0.70665,0.6783,0.69205,0.68925
3/1/2025,0.6926,0.70285,0.688,0.69615,0.6949
4/1/2025,0.6955,0.72645,0.69435,0.72615,0.71061
5/1/2025,0.7255,0.73145,0.71395,0.72955,0.72511
7/1/2025,0.73535,0.7377,0.72285,0.72285,0.72969
8/1/2025,0.722,0.72905,0.7189,0.729,0.72474
9/1/2025,0.7286,0.73095,0.71995,0.7297,0.7273
