"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2018","0.7792","0.8120","0.8160","0.7786","","-4.03%"
"01/01/2018","0.8119","0.7950","0.8164","0.7942","","2.15%"
"12/01/2017","0.7948","0.7754","0.7992","0.7739","","2.52%"
"11/01/2017","0.7753","0.7758","0.7897","0.7745","","-0.08%"
"10/01/2017","0.7759","0.8016","0.8044","0.7742","","-3.23%"
"09/01/2017","0.8018","0.8012","0.8292","0.7982","","0.10%"
"08/01/2017","0.8010","0.8013","0.8038","0.7825","","-0.04%"
"07/01/2017","0.8013","0.7713","0.8055","0.7682","","3.90%"
"06/01/2017","0.7712","0.7407","0.7724","0.7381","","4.13%"
"05/01/2017","0.7406","0.7322","0.7470","0.7249","","1.12%"
"04/01/2017","0.7324","0.7516","0.7563","0.7300","","-2.46%"
"03/01/2017","0.7509","0.7518","0.7539","0.7388","","-0.12%"
"02/01/2017","0.7518","0.7674","0.7704","0.7510","","-2.02%"
"01/01/2017","0.7673","0.7442","0.7711","0.7428","","3.09%"
"12/01/2016","0.7443","0.7441","0.7645","0.7353","","0.01%"
"11/01/2016","0.7442","0.7459","0.7540","0.7358","","-0.19%"
"10/01/2016","0.7456","0.7620","0.7690","0.7444","","-2.10%"
"09/01/2016","0.7616","0.7630","0.7800","0.7529","","-0.20%"
"08/01/2016","0.7631","0.7675","0.7836","0.7574","","-0.50%"
"07/01/2016","0.7669","0.7737","0.7795","0.7545","","-0.87%"
"06/01/2016","0.7736","0.7638","0.7904","0.7607","","1.30%"
"05/01/2016","0.7637","0.7968","0.8026","0.7581","","-4.12%"
"04/01/2016","0.7965","0.7690","0.8002","0.7564","","3.60%"
"03/01/2016","0.7688","0.7385","0.7779","0.7377","","4.12%"
"02/01/2016","0.7384","0.7157","0.7418","0.7090","","3.19%"
"01/01/2016","0.7156","0.7225","0.7239","0.6806","","-0.94%"
"12/01/2015","0.7224","0.7484","0.7524","0.7142","","-3.46%"
"11/01/2015","0.7483","0.7644","0.7671","0.7441","","-2.12%"
"10/01/2015","0.7645","0.7512","0.7795","0.7500","","1.81%"
"09/01/2015","0.7509","0.7612","0.7686","0.7430","","-1.31%"
"08/01/2015","0.7609","0.7635","0.7722","0.7488","","-0.39%"
"07/01/2015","0.7639","0.8004","0.8017","0.7631","","-4.55%"
"06/01/2015","0.8003","0.8038","0.8246","0.7959","","-0.36%"
"05/01/2015","0.8032","0.8280","0.8390","0.7975","","-3.00%"
"04/01/2015","0.8280","0.7884","0.8372","0.7867","","5.06%"
"03/01/2015","0.7881","0.8012","0.8061","0.7792","","-1.41%"
"02/01/2015","0.7994","0.7854","0.8096","0.7829","","1.78%"
"01/01/2015","0.7854","0.8605","0.8622","0.7813","","-8.72%"
"12/01/2014","0.8604","0.8755","0.8841","0.8566","","-1.78%"
"11/01/2014","0.8760","0.8877","0.8935","0.8719","","-1.30%"
"10/01/2014","0.8875","0.8931","0.9035","0.8781","","-0.58%"
"09/01/2014","0.8927","0.9194","0.9243","0.8911","","-2.85%"
"08/01/2014","0.9189","0.9169","0.9251","0.9092","","0.24%"
"07/01/2014","0.9167","0.9370","0.9418","0.9148","","-2.16%"
"06/01/2014","0.9369","0.9220","0.9394","0.9123","","1.61%"
"05/01/2014","0.9221","0.9122","0.9249","0.9086","","1.11%"
"04/01/2014","0.9120","0.9050","0.9212","0.9032","","0.78%"
"03/01/2014","0.9049","0.9046","0.9130","0.8866","","0.14%"
"02/01/2014","0.9036","0.8983","0.9168","0.8943","","0.59%"
"01/01/2014","0.8983","0.9413","0.9445","0.8907","","-4.57%"
"12/01/2013","0.9413","0.9422","0.9557","0.9312","","-0.06%"
"11/01/2013","0.9419","0.9587","0.9619","0.9408","","-1.73%"
"10/01/2013","0.9585","0.9700","0.9738","0.9525","","-1.17%"
"09/01/2013","0.9698","0.9503","0.9822","0.9469","","2.22%"
"08/01/2013","0.9487","0.9731","0.9742","0.9461","","-2.49%"
"07/01/2013","0.9729","0.9510","0.9761","0.9425","","2.36%"
"06/01/2013","0.9505","0.9650","0.9868","0.9472","","-1.33%"
"05/01/2013","0.9633","0.9928","0.9987","0.9595","","-2.94%"
"04/01/2013","0.9925","0.9823","0.9945","0.9714","","0.97%"
"03/01/2013","0.9830","0.9704","0.9858","0.9668","","1.33%"
"02/01/2013","0.9701","1.0024","1.0070","0.9694","","-3.23%"
"01/01/2013","1.0025","1.0074","1.0191","0.9900","","-0.42%"
"12/01/2012","1.0067","1.0063","1.0180","1.0028","","0.04%"
"11/01/2012","1.0063","0.9996","1.0130","0.9942","","0.65%"
"10/01/2012","0.9998","1.0164","1.0274","0.9979","","-1.69%"
"09/01/2012","1.0170","1.0129","1.0382","1.0081","","0.35%"
"08/01/2012","1.0135","0.9966","1.0163","0.9914","","1.69%"
"07/01/2012","0.9967","0.9836","0.9998","0.9754","","1.34%"
"06/01/2012","0.9835","0.9681","0.9843","0.9573","","1.65%"
"05/01/2012","0.9675","1.0131","1.0174","0.9648","","-4.48%"
"04/01/2012","1.0129","1.0040","1.0204","0.9949","","1.09%"
"03/01/2012","1.0020","1.0109","1.0165","0.9967","","-0.83%"
"02/01/2012","1.0104","0.9976","1.0161","0.9949","","1.35%"
"01/01/2012","0.9969","0.9797","1.0038","0.9692","","1.65%"
"12/01/2011","0.9807","0.9817","0.9951","0.9594","","-0.03%"
"11/01/2011","0.9810","1.0005","1.0030","0.9503","","-1.93%"
"10/01/2011","1.0003","0.9542","1.0113","0.9384","","5.05%"
"09/01/2011","0.9522","1.0223","1.0274","0.9520","","-6.86%"
"08/01/2011","1.0223","1.0465","1.0540","0.9991","","-2.33%"
"07/01/2011","1.0467","1.0376","1.0635","1.0227","","0.85%"
"06/01/2011","1.0379","1.0322","1.0393","1.0088","","0.57%"
"05/01/2011","1.0320","1.0576","1.0590","1.0187","","-2.49%"
"04/01/2011","1.0583","1.0311","1.0598","1.0287","","2.67%"
"03/01/2011","1.0308","1.0295","1.0348","1.0027","","0.16%"
"02/01/2011","1.0292","0.9992","1.0303","0.9988","","3.08%"
"01/01/2011","0.9984","1.0052","1.0171","0.9943","","-0.43%"
"12/01/2010","1.0027","0.9744","1.0075","0.9737","","2.97%"
"11/01/2010","0.9738","0.9815","1.0024","0.9722","","-0.77%"
"10/01/2010","0.9814","0.9714","1.0022","0.9641","","1.02%"
"09/01/2010","0.9715","0.9394","0.9812","0.9384","","3.41%"
"08/01/2010","0.9395","0.9719","0.9897","0.9373","","-3.25%"
"07/01/2010","0.9711","0.9403","0.9754","0.9367","","3.37%"
"06/01/2010","0.9394","0.9587","0.9867","0.9368","","-1.83%"
"05/01/2010","0.9569","0.9843","0.9899","0.9217","","-2.64%"
"04/01/2010","0.9828","0.9853","1.0071","0.9791","","-0.21%"
"03/01/2010","0.9849","0.9485","0.9939","0.9459","","3.71%"
"02/01/2010","0.9497","0.9344","0.9642","0.9277","","1.59%"
"01/01/2010","0.9348","0.9494","0.9780","0.9348","","-1.67%"
"12/01/2009","0.9507","0.9476","0.9647","0.9308","","0.37%"
"11/01/2009","0.9472","0.9222","0.9599","0.9202","","2.73%"
"10/01/2009","0.9220","0.9355","0.9798","0.9127","","-1.41%"
"09/01/2009","0.9352","0.9147","0.9442","0.9010","","2.34%"
"08/01/2009","0.9138","0.9287","0.9405","0.8999","","-1.50%"
"07/01/2009","0.9277","0.8601","0.9303","0.8532","","7.87%"
"06/01/2009","0.8600","0.9172","0.9274","0.8594","","-6.20%"
"05/01/2009","0.9168","0.8377","0.9182","0.8370","","9.44%"
"04/01/2009","0.8377","0.7927","0.8431","0.7867","","5.69%"
"03/01/2009","0.7926","0.7833","0.8203","0.7657","","0.93%"
"02/01/2009","0.7853","0.8146","0.8243","0.7856","","-3.66%"
"01/01/2009","0.8151","0.8220","0.8502","0.7836","","-0.82%"
"12/01/2008","0.8218","0.8088","0.8381","0.7690","","1.54%"
"11/01/2008","0.8093","0.8269","0.8720","0.7703","","-1.87%"
"10/01/2008","0.8247","0.9414","0.9482","0.7684","","-12.28%"
"09/01/2008","0.9402","0.9424","0.9711","0.9243","","0.01%"
"08/01/2008","0.9401","0.9781","0.9778","0.9324","","-3.78%"
"07/01/2008","0.9770","0.9806","1.0025","0.9736","","-0.23%"
"06/01/2008","0.9793","1.0050","1.0072","0.9689","","-2.71%"
"05/01/2008","1.0066","0.9935","1.0184","0.9765","","1.38%"
"04/01/2008","0.9929","0.9747","1.0011","0.9685","","1.88%"
"03/01/2008","0.9746","1.0150","1.0259","0.9715","","-4.06%"
"02/01/2008","1.0158","0.9973","1.0297","0.9807","","1.92%"
"01/01/2008","0.9967","1.0016","1.0163","0.9636","","-0.68%"
"12/01/2007","1.0035","1.0007","1.0252","0.9759","","0.35%"
"11/01/2007","1.0000","1.0606","1.1037","0.9985","","-5.61%"
"10/01/2007","1.0594","1.0072","1.0617","0.9984","","5.04%"
"09/01/2007","1.0086","0.9475","1.0088","0.9442","","6.52%"
"08/01/2007","0.9469","0.9376","0.9559","0.9204","","1.06%"
"07/01/2007","0.9370","0.9406","0.9671","0.9346","","-0.18%"
"06/01/2007","0.9387","0.9347","0.9549","0.9295","","0.48%"
"05/01/2007","0.9342","0.9010","0.9378","0.8953","","3.64%"
"04/01/2007","0.9014","0.8682","0.9051","0.8621","","3.96%"
"03/01/2007","0.8671","0.8551","0.8697","0.8456","","1.37%"
"02/01/2007","0.8554","0.8501","0.8649","0.8420","","0.61%"
"01/01/2007","0.8502","0.8577","0.8603","0.8437","","-0.90%"
"12/01/2006","0.8579","0.8768","0.8795","0.8569","","-2.07%"
"11/01/2006","0.8760","0.8909","0.8920","0.8700","","-1.67%"
"10/01/2006","0.8909","0.8947","0.8972","0.8761","","-0.37%"
"09/01/2006","0.8942","0.9056","0.9063","0.8852","","-1.31%"
"08/01/2006","0.9061","0.8834","0.9062","0.8794","","2.56%"
"07/01/2006","0.8835","0.8972","0.9058","0.8727","","-1.30%"
"06/01/2006","0.8951","0.9086","0.9122","0.8858","","-1.42%"
"05/01/2006","0.9080","0.8949","0.9151","0.8869","","1.43%"
"04/01/2006","0.8952","0.8542","0.8959","0.8494","","4.59%"
"03/01/2006","0.8559","0.8798","0.8851","0.8512","","-2.71%"
"02/01/2006","0.8797","0.8779","0.8810","0.8611","","0.26%"
"01/01/2006","0.8774","0.8584","0.8793","0.8476","","2.01%"
"12/01/2005","0.8601","0.8579","0.8752","0.8507","","0.27%"
"11/01/2005","0.8578","0.8463","0.8589","0.8347","","1.37%"
"10/01/2005","0.8462","0.8575","0.8605","0.8388","","-1.56%"
"09/01/2005","0.8596","0.8418","0.8630","0.8374","","2.15%"
"08/01/2005","0.8415","0.8181","0.8448","0.8163","","2.87%"
"07/01/2005","0.8180","0.8035","0.8319","0.8015","","0.26%"
"06/01/2005","0.8159","0.7973","0.8176","0.7943","","2.33%"
"05/01/2005","0.7973","0.7971","0.8086","0.7856","","0.35%"
"04/01/2005","0.7945","0.7944","0.8283","0.7925","","-3.91%"
"03/01/2005","0.8268","0.8267","0.8347","0.8003","","1.99%"
"02/01/2005","0.8107","0.8106","0.8175","0.7951","","0.57%"
"01/01/2005","0.8061","0.8059","0.8368","0.8019","","-3.02%"
"12/01/2004","0.8312","0.8311","0.8477","0.8021","","-1.45%"
"11/01/2004","0.8434","0.8433","0.8523","0.8141","","2.73%"
"10/01/2004","0.8210","0.8208","0.8226","0.7840","","3.62%"
"09/01/2004","0.7923","0.7922","0.7938","0.7595","","3.99%"
"08/01/2004","0.7619","0.7617","0.7717","0.7500","","1.48%"
"07/01/2004","0.7508","0.7506","0.7658","0.7472","","0.09%"
"06/01/2004","0.7501","0.7500","0.7508","0.7239","","2.21%"
"05/01/2004","0.7339","0.7337","0.7378","0.7142","","0.56%"
"04/01/2004","0.7298","0.7297","0.7671","0.7250","","-4.41%"
"03/01/2004","0.7635","0.7632","0.7687","0.7366","","1.95%"
"02/01/2004","0.7489","0.7487","0.7651","0.7412","","-0.81%"
"01/01/2004","0.7550","0.7548","0.7884","0.7485","","-2.08%"
"12/01/2003","0.7710","0.7707","0.7789","0.7451","","0.17%"
"11/01/2003","0.7697","0.7694","0.7720","0.7445","","1.56%"
"10/01/2003","0.7579","0.7577","0.7681","0.7395","","2.57%"
"09/01/2003","0.7389","0.7386","0.7482","0.7154","","2.45%"
"08/01/2003","0.7212","0.7211","0.7265","0.7060","","1.33%"
"07/01/2003","0.7117","0.7114","0.7500","0.7046","","-4.15%"
"06/01/2003","0.7425","0.7423","0.7513","0.7254","","1.46%"
"05/01/2003","0.7318","0.7316","0.7453","0.6993","","4.90%"
"04/01/2003","0.6976","0.6975","0.6986","0.6692","","2.47%"
"03/01/2003","0.6808","0.6807","0.6847","0.6691","","1.02%"
"02/01/2003","0.6739","0.6738","0.6743","0.6523","","2.53%"
"01/01/2003","0.6573","0.6572","0.6589","0.6339","","3.38%"
"12/01/2002","0.6358","0.6356","0.6471","0.6329","","-0.50%"
"11/01/2002","0.6390","0.6388","0.6449","0.6282","","-0.42%"
"10/01/2002","0.6417","0.6415","0.6429","0.6253","","1.84%"
"09/01/2002","0.6301","0.6299","0.6451","0.6290","","-1.78%"
"08/01/2002","0.6415","0.6414","0.6454","0.6232","","1.63%"
"07/01/2002","0.6312","0.6311","0.6618","0.6266","","-4.12%"
"06/01/2002","0.6583","0.6582","0.6651","0.6442","","0.92%"
"05/01/2002","0.6523","0.6521","0.6553","0.6361","","2.27%"
"04/01/2002","0.6378","0.6376","0.6409","0.6242","","1.77%"
"03/01/2002","0.6267","0.6266","0.6353","0.6236","","0.38%"
"02/01/2002","0.6243","0.6242","0.6306","0.6203","","-0.94%"
"01/01/2002","0.6302","0.6300","0.6318","0.6177","","0.33%"
"12/01/2001","0.6281","0.6280","0.6416","0.6229","","-1.18%"
"11/01/2001","0.6356","0.6354","0.6371","0.6230","","0.99%"
"10/01/2001","0.6294","0.6293","0.6428","0.6294","","-0.58%"
"09/01/2001","0.6331","0.6330","0.6468","0.6325","","-1.78%"
"08/01/2001","0.6446","0.6444","0.6564","0.6445","","-1.15%"
"07/01/2001","0.6521","0.6518","0.6636","0.6463","","-1.23%"
"06/01/2001","0.6602","0.6599","0.6623","0.6500","","1.57%"
"05/01/2001","0.6500","0.6498","0.6547","0.6427","","-0.20%"
"04/01/2001","0.6513","0.6511","0.6523","0.6320","","2.68%"
"03/01/2001","0.6343","0.6341","0.6512","0.6332","","-2.55%"
"02/01/2001","0.6509","0.6507","0.6712","0.6480","","-2.46%"
"01/01/2001","0.6673","0.6671","0.6712","0.6591","","0.01%"
"12/01/2000","0.6672","0.6669","0.6690","0.6436","","2.52%"
"11/01/2000","0.6508","0.6506","0.6573","0.6400","","-0.90%"
"10/01/2000","0.6567","0.6565","0.6701","0.6526","","-1.28%"
"09/01/2000","0.6652","0.6649","0.6809","0.6631","","-2.06%"
"08/01/2000","0.6792","0.6790","0.6800","0.6691","","0.97%"
"07/01/2000","0.6727","0.6725","0.6835","0.6702","","-0.40%"
"06/01/2000","0.6754","0.6752","0.6835","0.6680","","1.09%"
"05/01/2000","0.6681","0.6678","0.6777","0.6605","","-1.05%"
"04/01/2000","0.6752","0.6749","0.6908","0.6716","","-2.16%"
"03/01/2000","0.6901","0.6898","0.6926","0.6771","","-0.01%"
"02/01/2000","0.6902","0.6899","0.6965","0.6818","","-0.20%"
"01/01/2000","0.6916","0.6914","0.6986","0.6842","","0.01%"
