Date,Year,Month,Price,Open,High,Low,Avg
7/1/1993,1993,Jul,0.778,0.7778,0.778,0.7778,0.7779
8/1/1993,1993,Aug,0.7581,0.7579,0.7581,0.7579,0.7580
9/1/1993,1993,Sep,0.7494,0.7493,0.7494,0.7493,0.7494
10/1/1993,1993,Oct,0.7573,0.7572,0.7573,0.7572,0.7573
11/1/1993,1993,Nov,0.7483,0.7482,0.7483,0.7482,0.7483
12/1/1993,1993,Dec,0.7566,0.7564,0.7566,0.7564,0.7565
1/1/1994,1994,Jan,0.7523,0.7522,0.7523,0.7522,0.7523
2/1/1994,1994,Feb,0.7408,0.7406,0.7408,0.7406,0.7407
3/1/1994,1994,Mar,0.7228,0.7227,0.7228,0.7227,0.7228
4/1/1994,1994,Apr,0.7236,0.7234,0.7236,0.7234,0.7235
5/1/1994,1994,May,0.723,0.7229,0.723,0.7229,0.7230
6/1/1994,1994,Jun,0.7228,0.7225,0.7228,0.7225,0.7227
7/1/1994,1994,Jul,0.7216,0.7214,0.7216,0.7214,0.7215
8/1/1994,1994,Aug,0.7316,0.7315,0.7316,0.7315,0.7316
9/1/1994,1994,Sep,0.7449,0.7446,0.7449,0.7446,0.7448
10/1/1994,1994,Oct,0.7389,0.7388,0.7389,0.7388,0.7389
11/1/1994,1994,Nov,0.7268,0.7266,0.7268,0.7266,0.7267
12/1/1994,1994,Dec,0.7161,0.7136,0.7161,0.7136,0.7149
1/1/1995,1995,Jan,0.7106,0.7106,0.7106,0.7106,0.7106
2/1/1995,1995,Feb,0.7181,0.7181,0.7181,0.7181,0.7181
3/1/1995,1995,Mar,0.7144,0.7144,0.7144,0.7144,0.7144
4/1/1995,1995,Apr,0.7375,0.7375,0.7375,0.7375,0.7375
5/1/1995,1995,May,0.7302,0.7302,0.7302,0.7302,0.7302
6/1/1995,1995,Jun,0.7288,0.7285,0.73,0.7223,0.7274
7/1/1995,1995,Jul,0.7326,0.7323,0.7424,0.7274,0.7337
8/1/1995,1995,Aug,0.7446,0.7443,0.7495,0.7302,0.7422
9/1/1995,1995,Sep,0.7452,0.745,0.7493,0.728,0.7419
10/1/1995,1995,Oct,0.7438,0.7435,0.7535,0.7252,0.7415
11/1/1995,1995,Nov,0.7354,0.7353,0.7459,0.7345,0.7378
12/1/1995,1995,Dec,0.7329,0.7328,0.7367,0.7236,0.7315
1/1/1996,1996,Jan,0.728,0.7278,0.7401,0.7225,0.7296
2/1/1996,1996,Feb,0.7298,0.7297,0.7332,0.7212,0.7285
3/1/1996,1996,Mar,0.7357,0.7356,0.7381,0.7275,0.7342
4/1/1996,1996,Apr,0.7348,0.7345,0.7389,0.731,0.7348
5/1/1996,1996,May,0.7306,0.7305,0.7364,0.7261,0.7309
6/1/1996,1996,Jun,0.7333,0.7331,0.7371,0.7296,0.7333
7/1/1996,1996,Jul,0.7272,0.7271,0.736,0.7264,0.7292
8/1/1996,1996,Aug,0.7308,0.7307,0.7324,0.7255,0.7299
9/1/1996,1996,Sep,0.7343,0.7341,0.7345,0.7275,0.7326
10/1/1996,1996,Oct,0.7473,0.7471,0.7476,0.7331,0.7438
11/1/1996,1996,Nov,0.7399,0.7397,0.7538,0.7397,0.7433
12/1/1996,1996,Dec,0.7294,0.7293,0.7425,0.7288,0.7325
1/1/1997,1997,Jan,0.742,0.7419,0.7494,0.7251,0.7396
2/1/1997,1997,Feb,0.7308,0.7307,0.746,0.7301,0.7344
3/1/1997,1997,Mar,0.7226,0.7224,0.7353,0.7217,0.7255
4/1/1997,1997,Apr,0.7155,0.7153,0.7228,0.713,0.7167
5/1/1997,1997,May,0.7265,0.7263,0.7347,0.7153,0.7257
6/1/1997,1997,Jun,0.7239,0.7238,0.7291,0.7158,0.7232
7/1/1997,1997,Jul,0.7255,0.7254,0.7318,0.7202,0.7257
8/1/1997,1997,Aug,0.7203,0.7202,0.726,0.716,0.7206
9/1/1997,1997,Sep,0.7237,0.7235,0.7252,0.7173,0.7224
10/1/1997,1997,Oct,0.71,0.7097,0.7307,0.7061,0.7141
11/1/1997,1997,Nov,0.7026,0.7024,0.7159,0.701,0.7055
12/1/1997,1997,Dec,0.6995,0.6993,0.7078,0.6938,0.7001
1/1/1998,1998,Jan,0.6876,0.6875,0.7035,0.6809,0.6899
2/1/1998,1998,Feb,0.7023,0.7022,0.706,0.6869,0.6994
3/1/1998,1998,Mar,0.7042,0.7041,0.7122,0.6997,0.7051
4/1/1998,1998,Apr,0.6989,0.6988,0.7068,0.6937,0.6996
5/1/1998,1998,May,0.6865,0.6864,0.6991,0.6861,0.6895
6/1/1998,1998,Jun,0.6818,0.6817,0.6898,0.6771,0.6826
7/1/1998,1998,Jul,0.661,0.6609,0.6845,0.6609,0.6668
8/1/1998,1998,Aug,0.6384,0.6382,0.6618,0.6311,0.6424
9/1/1998,1998,Sep,0.6533,0.6531,0.6673,0.6378,0.6529
10/1/1998,1998,Oct,0.6487,0.6485,0.6674,0.6406,0.6513
11/1/1998,1998,Nov,0.6523,0.6521,0.6592,0.6422,0.6515
12/1/1998,1998,Dec,0.6534,0.6529,0.6583,0.6435,0.6520
1/1/1999,1999,Jan,0.662,0.6618,0.6657,0.6464,0.6590
2/1/1999,1999,Feb,0.6631,0.6629,0.6745,0.6594,0.6650
3/1/1999,1999,Mar,0.6631,0.6629,0.6656,0.653,0.6612
4/1/1999,1999,Apr,0.6865,0.6863,0.6877,0.6633,0.6810
5/1/1999,1999,May,0.6784,0.6783,0.6918,0.6764,0.6812
6/1/1999,1999,Jun,0.6838,0.6837,0.6876,0.6729,0.6820
7/1/1999,1999,Jul,0.6635,0.6633,0.6843,0.6591,0.6676
8/1/1999,1999,Aug,0.6702,0.6701,0.6773,0.6611,0.6697
9/1/1999,1999,Sep,0.6815,0.6813,0.6851,0.6672,0.6788
10/1/1999,1999,Oct,0.6801,0.6798,0.6842,0.668,0.6780
11/1/1999,1999,Nov,0.6784,0.6781,0.6871,0.6773,0.6802
12/1/1999,1999,Dec,0.6915,0.6913,0.6932,0.6734,0.6874
1/1/2000,2000,Jan,0.6916,0.6914,0.6986,0.6842,0.6915
2/1/2000,2000,Feb,0.6902,0.6899,0.6965,0.6818,0.6896
3/1/2000,2000,Mar,0.6901,0.6898,0.6926,0.6771,0.6874
4/1/2000,2000,Apr,0.6752,0.6749,0.6908,0.6716,0.6781
5/1/2000,2000,May,0.6681,0.6678,0.6777,0.6605,0.6685
6/1/2000,2000,Jun,0.6754,0.6752,0.6835,0.668,0.6755
7/1/2000,2000,Jul,0.6727,0.6725,0.6835,0.6702,0.6747
8/1/2000,2000,Aug,0.6792,0.679,0.68,0.6691,0.6768
9/1/2000,2000,Sep,0.6652,0.6649,0.6809,0.6631,0.6685
10/1/2000,2000,Oct,0.6567,0.6565,0.6701,0.6526,0.6590
11/1/2000,2000,Nov,0.6508,0.6506,0.6573,0.64,0.6497
12/1/2000,2000,Dec,0.6672,0.6669,0.669,0.6436,0.6617
1/1/2001,2001,Jan,0.6673,0.6671,0.6712,0.6591,0.6662
2/1/2001,2001,Feb,0.6509,0.6507,0.6712,0.648,0.6552
3/1/2001,2001,Mar,0.6343,0.6341,0.6512,0.6332,0.6382
4/1/2001,2001,Apr,0.6513,0.6511,0.6523,0.632,0.6467
5/1/2001,2001,May,0.65,0.6498,0.6547,0.6427,0.6493
6/1/2001,2001,Jun,0.6602,0.6599,0.6623,0.65,0.6581
7/1/2001,2001,Jul,0.6521,0.6518,0.6636,0.6463,0.6535
8/1/2001,2001,Aug,0.6446,0.6444,0.6564,0.6445,0.6475
9/1/2001,2001,Sep,0.6331,0.633,0.6468,0.6325,0.6364
10/1/2001,2001,Oct,0.6294,0.6293,0.6428,0.6294,0.6327
11/1/2001,2001,Nov,0.6356,0.6354,0.6371,0.623,0.6328
12/1/2001,2001,Dec,0.6281,0.628,0.6416,0.6229,0.6302
1/1/2002,2002,Jan,0.6302,0.63,0.6318,0.6177,0.6274
2/1/2002,2002,Feb,0.6243,0.6242,0.6306,0.6203,0.6249
3/1/2002,2002,Mar,0.6267,0.6266,0.6353,0.6236,0.6281
4/1/2002,2002,Apr,0.6378,0.6376,0.6409,0.6242,0.6351
5/1/2002,2002,May,0.6523,0.6521,0.6553,0.6361,0.6490
6/1/2002,2002,Jun,0.6583,0.6582,0.6651,0.6442,0.6565
7/1/2002,2002,Jul,0.6312,0.6311,0.6618,0.6266,0.6377
8/1/2002,2002,Aug,0.6415,0.6414,0.6454,0.6232,0.6379
9/1/2002,2002,Sep,0.6301,0.6299,0.6451,0.629,0.6335
10/1/2002,2002,Oct,0.6417,0.6415,0.6429,0.6253,0.6379
11/1/2002,2002,Nov,0.639,0.6388,0.6449,0.6282,0.6377
12/1/2002,2002,Dec,0.6358,0.6356,0.6471,0.6329,0.6379
1/1/2003,2003,Jan,0.6573,0.6572,0.6589,0.6339,0.6518
2/1/2003,2003,Feb,0.6739,0.6738,0.6743,0.6523,0.6686
3/1/2003,2003,Mar,0.6808,0.6807,0.6847,0.6691,0.6788
4/1/2003,2003,Apr,0.6976,0.6975,0.6986,0.6692,0.6907
5/1/2003,2003,May,0.7318,0.7316,0.7453,0.6993,0.7270
6/1/2003,2003,Jun,0.7425,0.7423,0.7513,0.7254,0.7404
7/1/2003,2003,Jul,0.7117,0.7114,0.75,0.7046,0.7194
8/1/2003,2003,Aug,0.7212,0.7211,0.7265,0.706,0.7187
9/1/2003,2003,Sep,0.7389,0.7386,0.7482,0.7154,0.7353
10/1/2003,2003,Oct,0.7579,0.7577,0.7681,0.7395,0.7558
11/1/2003,2003,Nov,0.7697,0.7694,0.772,0.7445,0.7639
12/1/2003,2003,Dec,0.771,0.7707,0.7789,0.7451,0.7664
1/1/2004,2004,Jan,0.755,0.7548,0.7884,0.7485,0.7617
2/1/2004,2004,Feb,0.7489,0.7487,0.7651,0.7412,0.7510
3/1/2004,2004,Mar,0.7635,0.7632,0.7687,0.7366,0.7580
4/1/2004,2004,Apr,0.7298,0.7297,0.7671,0.725,0.7379
5/1/2004,2004,May,0.7339,0.7337,0.7378,0.7142,0.7299
6/1/2004,2004,Jun,0.7501,0.75,0.7508,0.7239,0.7437
7/1/2004,2004,Jul,0.7508,0.7506,0.7658,0.7472,0.7536
8/1/2004,2004,Aug,0.7619,0.7617,0.7717,0.75,0.7613
9/1/2004,2004,Sep,0.7923,0.7922,0.7938,0.7595,0.7845
10/1/2004,2004,Oct,0.821,0.8208,0.8226,0.784,0.8121
11/1/2004,2004,Nov,0.8434,0.8433,0.8523,0.8141,0.8383
12/1/2004,2004,Dec,0.8312,0.8311,0.8477,0.8021,0.8280
1/1/2005,2005,Jan,0.8061,0.8059,0.8368,0.8019,0.8127
2/1/2005,2005,Feb,0.8107,0.8106,0.8175,0.7951,0.8085
3/1/2005,2005,Mar,0.8268,0.8267,0.8347,0.8003,0.8221
4/1/2005,2005,Apr,0.7945,0.7944,0.8283,0.7925,0.8024
